txn_id,account_id,txn_date,ingestion_date,amount,currency,txn_type,status
txn_004291,acc_779,2025-01-01,2025-01-01,574.25,['EUR'],TRANSFER,COMPLETED
txn_003104,acc_997,2025-01-01,2025-01-01,-16.35,['EUR'],WITHDRAWAL,PENDING
txn_006853,acc_490,2025-01-01,2025-01-01,-64.13,['EUR'],TRANSFER,SETTLED
txn_006199,acc_186,2025-01-01,2025-01-01,-29.73,['EUR'],WITHDRAWAL,FAILED
txn_002229,acc_915,2025-01-01,2025-01-03,554.06,['EUR'],CARD,COMPLETED
txn_002838,acc_626,2025-01-01,2025-01-02,-46.92,['EUR'],FEE,COMPLETED
txn_003097,acc_958,2025-01-01,2025-01-01,69.22,['EUR'],DEPOSIT,PENDING
txn_007824,acc_734,2025-01-01,2025-01-01,-53.18,['EUR'],TRANSFER,PENDING
txn_003863,acc_855,2025-01-01,2025-01-01,-96.51,['EUR'],WITHDRAWAL,SETTLED
txn_008693,acc_717,2025-01-01,2025-01-01,55.13,['EUR'],CARD,PENDING
txn_004511,acc_470,2025-01-01,2025-01-01,8.24,['EUR'],CARD,COMPLETED
txn_004657,acc_261,2025-01-01,2025-01-01,91.08,['EUR'],CARD,CANCELLED
txn_004186,acc_669,2025-01-01,2025-01-01,-54.74,['EUR'],WITHDRAWAL,COMPLETED
txn_002441,acc_438,2025-01-01,2025-01-01,-941.19,['EUR'],FEE,COMPLETED
txn_007670,acc_267,2025-01-01,2025-01-01,11.18,['EUR'],CARD,COMPLETED
txn_006741,acc_190,2025-01-01,2025-01-01,37.83,['EUR'],DEPOSIT,COMPLETED
txn_003738,acc_143,2025-01-01,2025-01-04,-7719.45,['EUR'],TRANSFER,COMPLETED
txn_007342,acc_690,2025-01-01,2025-01-01,-3.67,['EUR'],WITHDRAWAL,COMPLETED
txn_005886,acc_685,2025-01-01,2025-01-01,90.34,['EUR'],TRANSFER,SETTLED
txn_001855,acc_626,2025-01-01,2025-01-01,40.42,['EUR'],CARD,SETTLED
txn_001848,acc_675,2025-01-01,2025-01-01,-88.41,['EUR'],REFUND,COMPLETED
txn_008550,acc_445,2025-01-01,2025-01-02,-370.61,['EUR'],WITHDRAWAL,COMPLETED
txn_007048,acc_238,2025-01-01,2025-01-04,53.98,['EUR'],DEPOSIT,COMPLETED
txn_000128,acc_674,2025-01-01,2025-01-01,515.78,['EUR'],CARD,COMPLETED
txn_007447,acc_462,2025-01-01,2025-01-04,491.31,['EUR'],DEPOSIT,SETTLED
txn_001349,acc_100,2025-01-01,2025-01-01,-69.94,['EUR'],WITHDRAWAL,COMPLETED
txn_006825,acc_472,2025-01-02,2025-01-02,59.99,['EUR'],TRANSFER,SETTLED
txn_006862,acc_098,2025-01-02,2025-01-04,-35.46,['EUR'],WITHDRAWAL,SETTLED
txn_009284,acc_633,2025-01-02,2025-01-04,-84.03,['EUR'],WITHDRAWAL,COMPLETED
txn_000116,acc_419,2025-01-02,2025-01-02,-59.79,['EUR'],REFUND,COMPLETED
txn_000930,acc_394,2025-01-02,2025-01-02,8361.79,['EUR'],DEPOSIT,COMPLETED
txn_000173,acc_284,2025-01-02,2025-01-02,-230.22,['EUR'],TRANSFER,PENDING
txn_009315,acc_135,2025-01-02,2025-01-02,604.89,['EUR'],TRANSFER,CANCELLED
txn_004931,acc_500,2025-01-02,2025-01-02,208.74,['EUR'],DEPOSIT,COMPLETED
txn_009629,acc_554,2025-01-02,2025-01-02,56.28,['EUR'],DEPOSIT,SETTLED
txn_008600,acc_654,2025-01-02,2025-01-02,-89.08,['EUR'],WITHDRAWAL,SETTLED
txn_007917,acc_159,2025-01-02,2025-01-02,9.92,['EUR'],TRANSFER,COMPLETED
txn_006031,acc_005,2025-01-02,2025-01-02,73.69,['EUR'],CARD,PENDING
txn_004790,acc_708,2025-01-02,2025-01-09,-60.6,['EUR'],TRANSFER,COMPLETED
txn_006869,acc_264,2025-01-02,2025-01-02,951.13,['EUR'],DEPOSIT,COMPLETED
txn_006423,acc_203,2025-01-02,2025-01-03,28.55,['EUR'],PAYMENT,COMPLETED
txn_002911,acc_699,2025-01-02,2025-01-02,1516.97,['EUR'],PAYMENT,PENDING
txn_005761,acc_143,2025-01-02,2025-01-04,271.91,['EUR'],DEPOSIT,COMPLETED
txn_001359,acc_468,2025-01-02,2025-01-02,-461.63,['EUR'],FEE,FAILED
txn_001009,acc_158,2025-01-02,2025-01-02,-95.65,['EUR'],FEE,SETTLED
txn_007788,acc_116,2025-01-02,2025-01-03,-9.77,['EUR'],FEE,SETTLED
txn_007750,acc_318,2025-01-02,2025-01-02,482.28,['EUR'],DEPOSIT,OK
txn_006974,acc_804,2025-01-02,2025-01-02,-6.87,['EUR'],REFUND,OK
txn_000035,acc_400,2025-01-02,2025-01-02,78.62,['EUR'],DEPOSIT,COMPLETED
txn_007041,acc_509,2025-01-02,2025-01-03,-560.06,['EUR'],FEE,PENDING
txn_007914,acc_902,2025-01-02,2025-01-02,-15.02,['EUR'],REFUND,SETTLED
txn_003213,acc_584,2025-01-02,2025-01-04,-51.06,['EUR'],FEE,FAILED
txn_004572,acc_619,2025-01-02,2025-01-02,3222.39,['EUR'],CARD,SETTLED
txn_006563,acc_456,2025-01-03,2025-01-03,6935.19,['EUR'],CARD,COMPLETED
txn_000640,acc_587,2025-01-03,2025-01-04,54.18,['EUR'],CARD,COMPLETED
txn_006362,acc_197,2025-01-03,2025-01-03,89.39,['EUR'],PAYMENT,OK
txn_006592,acc_284,2025-01-03,2025-01-03,-23.29,['EUR'],FEE,COMPLETED
txn_009728,acc_742,2025-01-03,2025-01-03,85.79,['EUR'],TRANSFER,SETTLED
txn_001850,acc_489,2025-01-03,2025-01-03,-10.89,['EUR'],WITHDRAWAL,SETTLED
txn_004937,acc_058,2025-01-03,2025-01-03,56.49,['EUR'],CARD,SETTLED
txn_007749,acc_321,2025-01-03,2025-01-03,-886.16,['EUR'],FEE,COMPLETED
txn_008183,acc_168,2025-01-03,2025-01-06,-29.66,['EUR'],TRANSFER,COMPLETED
txn_002403,acc_110,2025-01-03,2025-01-03,-138.27,['EUR'],FEE,COMPLETED
txn_001118,acc_539,2025-01-03,2025-01-03,262.51,['EUR'],CARD,COMPLETED
txn_008513,acc_042,2025-01-03,2025-01-03,14.86,['EUR'],TRANSFER,COMPLETED
txn_005522,acc_574,2025-01-03,2025-01-03,-20.26,['EUR'],WITHDRAWAL,COMPLETED
txn_000559,acc_039,2025-01-03,2025-01-04,73.34,['EUR'],CARD,FAILED
